X [cm],energy[MeV],ex,ey
0.05,18.5,0,0.430116
0.15,19.5,0,0.441588
0.25,19.86,0,0.445646
0.35,21.88,0,0.467761
0.45,22.02,0,0.469255
0.55,24,0,0.489898
0.65,25.79,0,0.507839
0.75,27.13,0,0.520865
0.85,29.64,0,0.544426
0.95,33.35,0,0.577495
1.05,38.33,0,0.619112
1.15,52.78,0,0.726498
1.25,45.55,0,0.674907
1.35,16.84,0,0.410366
1.45,0.02,0,0.0141421
1.55,0.03,0,0.0173205
