X [cm],energy[MeV],ex,ey
0.05,1.9598,0,0.019798
0.15,1.9566,0,0.0197818
0.25,2.0362,0,0.0201802
0.35,2.167,0,0.0208183
0.45,2.261,0,0.021265
0.55,2.4238,0,0.0220173
0.65,2.5328,0,0.0225069
0.75,2.7392,0,0.023406
0.85,2.9394,0,0.0242462
0.95,3.2802,0,0.0256133
1.05,3.8798,0,0.0278561
1.15,5.202,0,0.0322552
1.25,4.5854,0,0.0302833
1.35,1.8206,0,0.0190819
1.45,0.0066,0,0.00114891
1.55,0.0018,0,0.0006
