X [cm],energy[MeV],ex,ey
0.025,9.672,0,0.0983463
0.075,9.752,0,0.0987522
0.125,9.642,0,0.0981937
0.175,9.913,0,0.099564
0.225,10.137,0,0.100683
0.275,10.252,0,0.101252
0.325,10.806,0,0.103952
0.375,10.874,0,0.104278
0.425,11.234,0,0.105991
0.475,11.571,0,0.107569
0.525,11.928,0,0.109215
0.575,12.229,0,0.110585
0.625,12.339,0,0.111081
0.675,12.929,0,0.113706
0.725,13.5,0,0.11619
0.775,13.922,0,0.117992
0.825,14.475,0,0.120312
0.875,15.311,0,0.123738
0.925,15.955,0,0.126313
0.975,16.953,0,0.130204
1.025,18.48,0,0.135941
1.075,20.312,0,0.14252
1.125,23.694,0,0.153929
1.175,28.036,0,0.16744
1.225,25.512,0,0.159725
1.275,20.148,0,0.141944
1.325,14.037,0,0.118478
1.375,4.06,0,0.0637181
1.425,0.043,0,0.00655744
1.475,0.011,0,0.00331662
1.525,0.01,0,0.00316228
1.575,0.008,0,0.00282843
