X [cm],energy[MeV],ex,ey
0.05,27,0,5.19615
0.15,22,0,4.69042
0.25,26,0,5.09902
0.35,18,0,4.24264
0.45,31,0,5.56776
0.55,24,0,4.89898
0.65,30,0,5.47723
0.75,35,0,5.91608
0.85,28,0,5.2915
0.95,32,0,5.65685
1.05,36,0,6
1.15,48,0,6.9282
1.25,53,0,7.28011
1.35,21,0,4.58258
1.45,0,0,0
1.55,0,0,0
